SquareOffDate,CummPnL,PnL,TransactionCost,SlippageCost,TotalTradeCount,MaxMargin
07-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0
14-01-2021 00:00:00,-926.25,-949.75,11.52,11.98,1,0
21-01-2021 00:00:00,1008.75,1906.99,14.49,13.52,1,66000
28-01-2021 00:00:00,11985.00,10920.47,30.98,24.80,2,139000
04-02-2021 00:00:00,14073.75,2033.55,27.89,27.31,2,66000
11-02-2021 00:00:00,14463.75,389.52,0.23,0.26,0,66000
18-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0
25-02-2021 00:00:00,14808.75,317.45,14.11,13.45,2,66000
04-03-2021 00:00:00,11501.25,-3325.95,8.16,10.30,0,0
10-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0
18-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0
25-03-2021 00:00:00,13305.00,1759.08,23.12,21.55,2,66000
01-04-2021 00:00:00,11910.00,-1405.60,4.61,5.98,0,0
08-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0
15-04-2021 00:00:00,11156.25,-787.42,16.64,17.02,2,66000
22-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0
29-04-2021 00:00:00,14940.00,3746.54,19.13,18.08,1,66000
06-05-2021 00:00:00,13046.25,-1911.23,8.68,8.79,1,0
12-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0
20-05-2021 00:00:00,12461.25,-605.21,9.96,10.25,1,66000
27-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0
03-06-2021 00:00:00,15135.00,2647.28,13.98,12.48,3,198000
10-06-2021 00:00:00,16233.75,1087.64,5.75,5.36,1,132000
17-06-2021 00:00:00,13826.25,-2463.56,27.93,28.13,4,118000
24-06-2021 00:00:00,13653.75,-205.11,16.08,16.53,2,66000
01-07-2021 00:00:00,14066.25,410.52,0.77,1.21,0,66000
08-07-2021 00:00:00,13076.25,-1014.99,12.26,12.74,2,66000
15-07-2021 00:00:00,14373.75,1284.71,6.82,5.97,1,132000
22-07-2021 00:00:00,14647.50,239.33,17.17,17.25,3,191000
29-07-2021 00:00:00,15390.00,715.64,13.62,13.25,1,66000
05-08-2021 00:00:00,18427.50,3008.27,15.63,13.61,2,146000
12-08-2021 00:00:00,20587.50,2150.62,4.98,4.40,1,212000
18-08-2021 00:00:00,21367.50,762.72,9.11,8.17,2,146000
26-08-2021 00:00:00,19012.50,-2385.71,14.78,15.94,2,139000
02-09-2021 00:00:00,23002.50,3971.31,10.11,8.58,1,212000
09-09-2021 00:00:00,24487.50,1475.22,5.21,4.57,1,139000
16-09-2021 00:00:00,31275.00,6746.36,22.51,18.63,2,132000
23-09-2021 00:00:00,36153.75,4817.27,31.14,30.35,3,146000
30-09-2021 00:00:00,38628.75,2453.21,12.09,9.70,1,212000
07-10-2021 00:00:00,38351.25,-292.60,7.48,7.62,1,66000
14-10-2021 00:00:00,44235.00,5850.97,16.64,16.14,2,132000
21-10-2021 00:00:00,47823.75,3543.74,23.90,21.12,1,205000
28-10-2021 00:00:00,46117.50,-1757.27,24.61,26.41,3,66000
03-11-2021 00:00:00,48502.50,2348.20,18.77,18.03,2,125000
11-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0
18-11-2021 00:00:00,49680.00,1122.49,28.03,26.97,3,132000
25-11-2021 00:00:00,51322.50,1605.17,18.84,18.49,2,198000
02-12-2021 00:00:00,52387.50,1002.13,31.70,31.17,4,125000
09-12-2021 00:00:00,52908.75,493.69,14.15,13.41,2,66000
16-12-2021 00:00:00,53628.75,706.52,6.81,6.67,1,66000
23-12-2021 00:00:00,54007.50,361.54,8.56,8.64,1,66000
30-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0
06-01-2022 00:00:00,59512.50,5448.19,29.78,27.03,2,132000
13-01-2022 00:00:00,61166.25,1630.01,12.18,11.56,2,139000
20-01-2022 00:00:00,64740.00,3521.69,27.53,24.53,3,191000
27-01-2022 00:00:00,63986.25,-896.45,70.66,72.04,3,191000
03-02-2022 00:00:00,63986.25,0.00,0.00,0.00,0,0
10-02-2022 00:00:00,64781.25,760.42,17.49,17.09,2,66000
17-02-2022 00:00:00,65482.50,670.86,15.37,15.02,2,132000
24-02-2022 00:00:00,65482.50,0.00,0.00,0.00,0,0
03-03-2022 00:00:00,65482.50,0.00,0.00,0.00,0,0
10-03-2022 00:00:00,68771.25,3203.05,43.67,42.03,2,66000
17-03-2022 00:00:00,68373.75,-414.89,8.84,8.54,1,66000
24-03-2022 00:00:00,65625.00,-2804.75,27.07,28.94,1,80000
31-03-2022 00:00:00,65625.00,0.00,0.00,0.00,0,0
07-04-2022 00:00:00,66926.25,1236.24,32.83,32.18,3,212000
13-04-2022 00:00:00,66360.00,-591.23,12.54,12.44,2,66000
21-04-2022 00:00:00,67796.25,1421.19,7.70,7.37,1,132000
28-04-2022 00:00:00,70593.75,2780.13,9.39,7.99,1,66000
05-05-2022 00:00:00,69783.75,-832.05,10.82,11.23,1,66000
12-05-2022 00:00:00,70196.25,353.06,29.63,29.82,4,66000
19-05-2022 00:00:00,67961.25,-2264.34,14.23,15.12,2,66000
26-05-2022 00:00:00,65336.25,-2634.04,3.95,5.09,0,0
02-06-2022 00:00:00,65336.25,0.00,0.00,0.00,0,0
09-06-2022 00:00:00,65336.25,0.00,0.00,0.00,0,0
16-06-2022 00:00:00,67736.25,2369.75,15.80,14.45,2,132000
23-06-2022 00:00:00,67998.75,261.70,0.39,0.41,0,132000
30-06-2022 00:00:00,67998.75,0.00,0.00,0.00,0,0
07-07-2022 00:00:00,67998.75,0.00,0.00,0.00,0,0
14-07-2022 00:00:00,67980.00,-31.50,6.37,6.38,1,66000
21-07-2022 00:00:00,67886.25,-120.79,13.94,13.10,2,132000
28-07-2022 00:00:00,73462.50,5540.46,18.19,17.60,2,132000
04-08-2022 00:00:00,80141.25,6636.04,22.93,19.77,1,198000
11-08-2022 00:00:00,79361.25,-792.96,6.85,6.11,1,66000
18-08-2022 00:00:00,81566.25,2197.67,3.79,3.54,1,139000
25-08-2022 00:00:00,78705.00,-2898.46,18.08,19.12,2,66000
01-09-2022 00:00:00,76282.50,-2455.17,15.73,16.94,2,66000
08-09-2022 00:00:00,76282.50,0.00,0.00,0.00,0,0
15-09-2022 00:00:00,74625.00,-1681.12,11.40,12.23,1,66000
22-09-2022 00:00:00,77647.50,3001.13,11.44,9.93,1,59000
29-09-2022 00:00:00,79477.50,1815.49,7.72,6.78,1,73000
06-10-2022 00:00:00,79447.50,-30.64,0.30,0.34,0,0
13-10-2022 00:00:00,79447.50,0.00,0.00,0.00,0,0
20-10-2022 00:00:00,78461.25,-999.37,6.31,6.81,1,0
27-10-2022 00:00:00,78461.25,0.00,0.00,0.00,0,0
03-11-2022 00:00:00,82485.00,3998.54,13.88,11.34,2,125000
10-11-2022 00:00:00,84322.50,1815.09,11.40,11.01,2,198000
17-11-2022 00:00:00,85391.25,1049.36,10.22,9.17,2,125000
24-11-2022 00:00:00,87401.25,1961.20,24.65,24.16,3,125000
01-12-2022 00:00:00,90780.00,3358.15,11.15,9.45,1,184000
08-12-2022 00:00:00,90780.00,0.00,0.00,0.00,0,0
15-12-2022 00:00:00,86805.00,-4031.52,27.53,29.00,3,66000
22-12-2022 00:00:00,91522.50,4626.50,46.61,44.39,5,219000
29-12-2022 00:00:00,92088.75,564.37,0.89,0.99,0,219000
05-01-2023 00:00:00,92392.50,291.57,6.36,5.83,1,59000
12-01-2023 00:00:00,92730.00,335.90,0.70,0.90,0,59000
19-01-2023 00:00:00,92730.00,0.00,0.00,0.00,0,0
25-01-2023 00:00:00,98943.75,6156.73,30.35,26.67,2,66000
02-02-2023 00:00:00,105885.00,6874.59,34.78,31.88,2,132000
09-02-2023 00:00:00,107227.50,1331.72,5.73,5.06,1,66000
