number,value,datetime_start,datetime_complete,duration,params_GammaBurstBearMinVIX,params_GammaBurstProfitBookMultiple,params_GammaBurstSLPct,params_TargetGammaBurstPremium,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
0,0.3683398552857296,2026-03-05 10:20:11.732594,2026-03-05 10:21:10.519709,0 days 00:00:58.787115,13,2.5,50,15,17.6885201841215,333.0,1.12472512156596,0.0394490028916478,15101.25,0.234234234234234,COMPLETE
1,0.1404532369984714,2026-03-05 10:21:10.519799,2026-03-05 10:21:55.963836,0 days 00:00:45.444037,11,2.5,0,5,16.4062500000001,258.0,0.741857446306347,-0.105733130656994,-16406.2500000001,0.232558139534884,COMPLETE
2,0.355226924316606,2026-03-05 10:21:55.963891,2026-03-05 10:23:08.196571,0 days 00:01:12.232680,15,2.5,30,20,15.5773461521859,330.0,1.10744241778725,0.0325019672783548,12105.0,0.193939393939394,COMPLETE
3,-inf,2026-03-05 10:23:08.196630,2026-03-05 10:43:36.402747,0 days 00:20:28.206117,11,1.5,50,50,,,,,,,COMPLETE
4,0.17305042934970732,2026-03-05 10:43:36.402799,2026-03-05 10:44:46.992371,0 days 00:01:10.589572,13,2.0,0,5,12.2212500000001,250.0,0.786191536748328,-0.0908165699998947,-11880.0000000001,0.288,COMPLETE
5,0.6416050278459016,2026-03-05 10:44:46.992424,2026-03-05 10:47:29.919971,0 days 00:02:42.927547,0,2.5,70,50,41.897965647551,296.0,1.22127833991015,0.0737526887785565,103248.75,0.35472972972973,COMPLETE
6,0.2702294975352764,2026-03-05 10:47:29.920030,2026-03-05 10:48:41.551476,0 days 00:01:11.631446,13,1.5,0,20,18.785477906777402,298.0,0.987570863193924,-0.00490736799182697,-2178.75000000006,0.557046979865772,COMPLETE
7,0.265977171095986,2026-03-05 10:48:41.551527,2026-03-05 10:49:42.465162,0 days 00:01:00.913635,13,2.0,70,10,12.4365118195589,307.0,0.965820986401461,-0.0131950359118683,-3157.5,0.322475570032573,COMPLETE
8,0.041316620775750226,2026-03-05 10:49:42.465208,2026-03-05 10:50:42.093044,0 days 00:00:59.627836,0,0.0,70,5,29.81625,290.0,0.536141415319993,-0.116616655720621,-29816.25,0.0379310344827586,COMPLETE
9,0.26510344138023756,2026-03-05 10:50:42.093117,2026-03-05 10:52:41.021542,0 days 00:01:58.928425,11,1.5,0,50,39.5034330809128,316.0,1.00275727423747,0.00108229903414308,1207.49999999971,0.582278481012658,COMPLETE
10,0.5266854464844614,2026-03-05 10:52:41.021597,2026-03-05 10:55:10.514157,0 days 00:02:29.492560,0,3.0,70,25,23.9906233068874,302.0,1.23024599055912,0.0698359291988112,58897.5000000001,0.274834437086093,COMPLETE
11,0.5266854464844614,2026-03-05 10:55:10.514227,2026-03-05 10:56:17.538710,0 days 00:01:07.024483,0,3.0,70,25,23.9906233068874,302.0,1.23024599055912,0.0698359291988112,58897.5000000001,0.274834437086093,COMPLETE
12,0.5266854464844614,2026-03-05 10:56:17.538768,2026-03-05 10:57:26.302868,0 days 00:01:08.764100,0,3.0,70,25,23.9906233068874,302.0,1.23024599055912,0.0698359291988112,58897.5000000001,0.274834437086093,COMPLETE
13,0.5266854464844614,2026-03-05 10:57:26.302922,2026-03-05 10:58:37.246171,0 days 00:01:10.943249,0,3.0,70,25,23.9906233068874,302.0,1.23024599055912,0.0698359291988112,58897.5000000001,0.274834437086093,COMPLETE
14,0.8175435705118391,2026-03-05 10:58:37.246217,2026-03-05 11:00:23.151586,0 days 00:01:45.905369,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
15,0.4176213988485387,2026-03-05 11:00:23.151640,2026-03-05 11:01:55.363915,0 days 00:01:32.212275,15,0.0,30,50,35.9363149951403,276.0,1.1365535070413,0.0333550310885483,37634.9999999999,0.159420289855072,COMPLETE
16,0.8175435705118391,2026-03-05 11:01:55.363958,2026-03-05 11:03:45.728818,0 days 00:01:50.364860,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
17,0.8175435705118391,2026-03-05 11:03:45.728872,2026-03-05 11:05:36.465523,0 days 00:01:50.736651,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
18,0.3508374436135355,2026-03-05 11:05:36.465593,2026-03-05 11:06:39.543994,0 days 00:01:03.078401,0,0.0,30,10,20.97,365.0,1.14823655494934,0.0198159565591695,11411.2499999999,0.0520547945205479,COMPLETE
19,0.1800756117400083,2026-03-05 11:06:39.544067,2026-03-05 11:07:38.688425,0 days 00:00:59.144358,15,0.0,30,15,20.831953575146102,294.0,0.823689778645833,-0.0377103510350305,-16248.75,0.0646258503401361,COMPLETE
20,0.8175435705118391,2026-03-05 11:07:38.688501,2026-03-05 11:09:22.811590,0 days 00:01:44.123089,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
21,0.8175435705118391,2026-03-05 11:09:22.811640,2026-03-05 11:11:06.997036,0 days 00:01:44.185396,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
