number,value,datetime_start,datetime_complete,duration,params_LadderTradePBMult,params_LadderTradeSLPct,params_LadderTradeSpotThreshold,params_TargetLadderTradePremium,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
0,1.4462739094079062,2026-03-06 10:33:28.646497,2026-03-06 10:35:09.715929,0 days 00:01:41.069432,3.0,70,2.0,50,95.0142681262467,481.0,1.34592096330684,0.0926724621819619,378345.0,0.301455301455301,COMPLETE
1,1.7963709639677123,2026-03-06 10:35:09.723645,2026-03-06 10:36:13.463676,0 days 00:01:03.740031,3.0,50,2.0,50,57.9781006482142,519.0,1.51023690182697,0.114960460626331,468772.5,0.252408477842004,COMPLETE
2,0.8457444079116665,2026-03-06 10:36:13.464325,2026-03-06 10:39:33.811562,0 days 00:03:20.347237,2.5,50,2.0,8,15.9925811781917,519.0,1.76589563079674,0.0575509073262755,128512.5,0.163776493256262,COMPLETE
3,0.5053442383899601,2026-03-06 10:39:33.811921,2026-03-06 10:40:58.419016,0 days 00:01:24.607095,2.0,0,0.5,30,58.980703163248506,630.0,1.12837618893315,0.0283586344164466,75768.75,0.553968253968254,COMPLETE
4,0.6720451899043973,2026-03-06 10:40:58.419400,2026-03-06 10:42:34.424668,0 days 00:01:36.005268,3.0,30,0.5,15,11.3977425357887,750.0,1.44145401753308,0.0708115723339251,88942.5,0.384,COMPLETE
5,1.2847436371684322,2026-03-06 10:42:34.425022,2026-03-06 10:43:51.706401,0 days 00:01:17.281379,2.5,30,1.0,30,26.7889688707914,662.0,1.61879043555009,0.0701237973230138,286575.0,0.270392749244713,COMPLETE
6,0.9727568864141476,2026-03-06 10:43:51.706746,2026-03-06 10:45:17.591834,0 days 00:01:25.885088,3.0,20,1.5,15,11.322483553111299,719.0,1.8385721149996,0.112896742418347,157068.75,0.154381084840056,COMPLETE
7,1.0947273516362277,2026-03-06 10:45:17.592162,2026-03-06 10:46:33.960951,0 days 00:01:16.368789,2.5,20,1.5,30,35.5521894049625,716.0,1.57565559357925,0.0752273058133507,228352.5,0.177374301675978,COMPLETE
8,0.8421979577936767,2026-03-06 10:46:33.961304,2026-03-06 10:47:56.682410,0 days 00:01:22.721106,2.0,70,1.0,15,24.0380162439055,551.0,1.47211882774218,0.0522523962228653,150303.75,0.373865698729583,COMPLETE
9,0.942894347402772,2026-03-06 10:47:56.682864,2026-03-06 10:49:13.282999,0 days 00:01:16.600135,4.0,70,1.5,15,27.055802961213498,500.0,1.53848323798562,0.0634525069171538,178957.5,0.28,COMPLETE
