number,value,datetime_start,datetime_complete,duration,params_BPR,params_POP,params_SLF,params_SWING,user_attrs_AvgLoss,user_attrs_AvgWin,user_attrs_Calmar,user_attrs_MaxDDAbs,user_attrs_MaxDDPct,user_attrs_NetProfit,user_attrs_PF,user_attrs_Sharpe,user_attrs_Trades,user_attrs_WinRate,state
0,4.6038,2026-03-06 21:33:59.500528,2026-03-06 21:37:19.872186,0 days 00:03:20.371658,0.3,90.0,1.0,1.25,-1166.41,1188.37,3.2849,9242.62,1.39,155052.76,1.99,4.6038,396.0,66.16,COMPLETE
1,4.4166,2026-03-06 21:37:19.880600,2026-03-06 21:41:08.741405,0 days 00:03:48.860805,0.3,90.0,1.5,0.5,-476.4,709.79,3.8886,5494.42,0.9,109111.81,2.1,4.4166,503.0,58.45,COMPLETE
2,4.4226,2026-03-06 21:41:08.747961,2026-03-06 21:45:01.477321,0 days 00:03:52.729360,0.3,90.0,1.0,0.5,-475.82,709.79,3.8929,5494.42,0.9,109232.03,2.1,4.4226,503.0,58.45,COMPLETE
3,4.4463,2026-03-06 21:45:01.482480,2026-03-06 21:48:25.859697,0 days 00:03:24.377217,0.3,90.0,1.0,1.0,-983.2,1054.05,3.4927,7978.52,1.23,142312.97,1.97,4.4463,423.0,64.78,COMPLETE
4,4.1584,2026-03-06 21:48:25.861453,2026-03-06 21:51:31.207864,0 days 00:03:05.346411,0.3,90.0,1.25,1.0,-1060.08,1047.34,3.0217,8838.93,1.37,136403.43,1.89,4.1584,422.0,65.64,COMPLETE
5,4.8882,2026-03-06 21:51:31.209390,2026-03-06 21:54:54.120172,0 days 00:03:22.910782,0.3,90.0,1.5,0.75,-749.18,961.16,4.3584,6657.31,1.02,148180.35,2.21,4.8882,446.0,63.23,COMPLETE
6,4.4166,2026-03-06 21:54:54.121681,2026-03-06 21:58:33.692139,0 days 00:03:39.570458,0.3,90.0,1.25,0.5,-476.4,709.79,3.8886,5494.42,0.9,109111.81,2.1,4.4166,503.0,58.45,COMPLETE
7,4.0139,2026-03-06 21:58:33.695396,2026-03-06 22:01:41.903171,0 days 00:03:08.207775,0.3,90.0,1.5,1.0,-1085.85,1047.34,2.7561,9425.0,1.47,132665.39,1.84,4.0139,422.0,65.64,COMPLETE
8,4.8882,2026-03-06 22:01:41.904576,2026-03-06 22:04:39.469456,0 days 00:02:57.564880,0.3,90.0,1.5,0.75,-749.18,961.16,4.3584,6657.31,1.02,148180.35,2.21,4.8882,446.0,63.23,COMPLETE
9,4.4226,2026-03-06 22:04:39.472088,2026-03-06 22:08:08.387155,0 days 00:03:28.915067,0.3,90.0,1.0,0.5,-475.82,709.79,3.8929,5494.42,0.9,109232.03,2.1,4.4226,503.0,58.45,COMPLETE
10,4.9217,2026-03-06 22:08:08.389939,2026-03-06 22:11:14.886675,0 days 00:03:06.496736,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
11,4.9217,2026-03-06 22:11:14.889923,2026-03-06 22:14:20.170498,0 days 00:03:05.280575,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
12,4.9217,2026-03-06 22:14:20.171368,2026-03-06 22:17:17.632507,0 days 00:02:57.461139,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
13,4.9217,2026-03-06 22:17:17.633479,2026-03-06 22:20:17.609499,0 days 00:02:59.976020,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
14,4.9217,2026-03-06 22:20:17.610542,2026-03-06 22:23:20.978038,0 days 00:03:03.367496,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
15,5.2137,2026-03-06 22:23:20.979411,2026-03-06 22:26:04.666770,0 days 00:02:43.687359,0.3,90.0,0.75,1.25,-999.65,1192.61,3.5486,8958.87,1.34,162357.06,2.14,5.2137,399.0,64.16,COMPLETE
