trial,SLF,SWING,POP,BPR,NetProfit,Sharpe,MaxDDPct,Calmar,PF,WinRate,Trades,AvgWin,AvgLoss,MaxDDAbs
0,1.25,2.25,90.0,0.3,128544.66,2.0052,7.01,308.602,1.48,69.44,373,1525.85,-2339.03,47398.29
1,1.75,1.25,85.0,0.5,123933.42,3.0498,2.32,0.0,1.55,63.68,402,1359.27,-1534.53,14849.2
2,2.25,0.75,75.0,0.5,167077.55,2.9611,1.93,2.5051,1.58,55.48,456,1797.82,-1417.59,13059.45
3,0.75,1.25,85.0,0.7,69725.65,2.9615,1.38,1.7165,1.54,57.52,412,841.78,-741.58,7953.96
4,1.75,2.25,80.0,0.5,85395.01,1.1755,5.77,0.0,1.18,63.76,378,2282.42,-3391.74,35501.03
5,1.25,1.25,90.0,0.5,102670.22,3.8044,1.52,2.1645,1.77,65.82,392,917.13,-999.62,9287.99
6,1.75,0.75,90.0,0.7,57369.11,3.8075,0.69,2.8895,1.86,60.22,445,464.42,-379.07,3887.67
7,1.75,2.25,85.0,0.5,104423.05,1.7225,6.47,0.0,1.31,69.15,376,1682.11,-2870.05,41787.07
8,1.25,2.25,80.0,0.7,57424.56,1.2237,5.04,0.3804,1.2,62.63,380,1421.07,-1977.4,29561.33
9,1.75,0.75,90.0,0.3,148135.09,4.8863,1.02,4.3571,2.21,63.23,446,961.16,-749.46,6657.31
10,2.25,1.75,75.0,0.3,264516.61,2.4771,4.93,0.0,1.41,61.86,388,3813.19,-4396.28,39610.29
11,1.75,0.75,90.0,0.3,148135.09,4.8863,1.02,4.3571,2.21,63.23,446,961.16,-749.46,6657.31
12,1.75,0.75,90.0,0.3,148135.09,4.8863,1.02,4.3571,2.21,63.23,446,961.16,-749.46,6657.31
13,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
14,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
15,0.75,1.75,90.0,0.3,103479.23,1.9724,6.21,0.5067,1.46,59.69,392,1394.18,-1409.87,39988.68
16,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
17,0.75,0.75,75.0,0.3,190243.3,2.6943,3.37,1.5835,1.5,47.91,478,2490.74,-1526.65,23525.44
18,0.75,0.75,80.0,0.3,199608.77,3.4373,2.05,2.6959,1.69,53.53,467,1960.88,-1339.22,14498.36
19,0.75,1.75,90.0,0.3,103479.23,1.9724,6.21,0.5067,1.46,59.69,392,1394.18,-1409.87,39988.68
20,0.75,0.75,90.0,0.7,55797.65,3.7442,0.7,2.8104,1.83,58.35,449,468.3,-357.74,3887.67
21,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
22,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
23,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
24,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
25,2.25,0.75,90.0,0.3,147718.17,4.8682,1.02,4.3448,2.2,63.23,446,961.16,-752.0,6657.31
26,0.75,0.75,85.0,0.3,184267.24,4.3029,1.39,3.7793,1.94,58.17,459,1424.07,-1020.62,9547.3
27,0.75,1.75,75.0,0.3,231438.11,2.7938,3.23,1.8846,1.53,43.78,434,3504.7,-1780.55,24047.07
28,0.75,1.25,80.0,0.7,78829.72,2.5923,1.98,1.3171,1.45,56.72,409,1098.76,-994.81,11719.46
29,1.25,2.25,90.0,0.3,128544.66,2.0052,7.01,308.602,1.48,69.44,373,1525.85,-2339.03,47398.29
30,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
31,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
32,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
33,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
34,2.25,1.25,85.0,0.5,125886.82,3.0839,2.47,0.0,1.57,64.25,400,1356.2,-1557.04,15867.0
35,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
36,1.25,0.75,75.0,0.5,165878.57,3.041,2.17,2.2269,1.58,55.26,456,1784.35,-1391.07,14585.91
37,0.75,1.25,90.0,0.3,162357.06,5.2137,1.34,3.5486,2.14,64.16,399,1192.61,-999.65,8958.87
38,2.25,1.25,85.0,0.7,69505.38,2.6289,2.24,0.0,1.47,63.0,400,859.27,-993.45,13057.34
39,0.75,1.25,80.0,0.5,119501.24,2.5204,2.47,1.4976,1.43,53.0,417,1792.5,-1411.43,15625.15
