EntryTime,ExitTime,TradeType,Dir,ExitType,EntrySpot,ExitSpot,SpotPoints,EntryVix,DTE,TradePnL,Costs,Margin,SellOpt,SellEntry,SellExit,SellOffset,BuyOpt,BuyEntry,BuyExit,BuyOffset,SprdCr,SprdPOP,MaxLoss
2021-01-13 09:44,2021-01-13 14:02,BullLadder,Bull,SwingExit,14645.40,14462.45,-182.95,23.32,8.24,-457.50,18.46,66000.00,NIFTY21JAN2114000PE,32.05,47.60,600,NIFTY21JAN2113700PE,17.75,27.20,900,1072.50,92.88,-21427.50
2021-01-13 09:44,2021-01-13 13:44,BullLadderTrade,Bull,StopLoss,14645.40,14519.00,-126.40,23.32,8.24,-165.00,2.78,0.00,,,,,NIFTY21JAN2115200CE,10.65,8.45,11,,,
2021-01-13 09:44,2021-01-13 11:33,BullGammaBurst,Bull,StopLoss,14645.40,14560.40,-85.00,23.32,1.24,-303.75,2.26,0.00,,,,,NIFTY14JAN2114800CE,10.05,6.00,3,,,
2021-01-20 09:44,2021-01-21 15:06,BullLadder,Bull,SwingExit,14558.20,14556.90,-1.30,22.83,8.24,41.25,14.13,66000.00,NIFTY28JAN2114000PE,31.55,32.25,500,NIFTY28JAN2113700PE,14.50,15.75,800,1278.75,90.92,-21221.25
2021-01-20 09:44,2021-01-21 15:07,BullLadderTrade,Bull,StopLoss,14558.20,14541.05,-17.15,22.83,8.24,-322.50,4.13,0.00,,,,,NIFTY28JAN2115000CE,16.45,12.15,9,,,
2021-01-20 09:44,2021-01-21 09:27,BullGammaBurst,Bull,ProfitBook,14558.20,14732.60,174.40,22.83,1.24,2216.25,9.76,0.00,,,,,NIFTY21JAN2114700CE,14.05,43.60,3,,,
2021-01-25 15:14,2021-01-29 09:17,BearLadder,Bear,SwingExit,14238.15,13940.85,297.30,23.20,10.01,1758.75,12.98,66000.00,NIFTY04FEB2114900CE,46.40,11.30,650,NIFTY04FEB2115200CE,17.30,5.65,950,2182.50,92.63,-20317.50
2021-01-25 15:14,2021-01-27 09:17,BearLadderTrade,Bear,StopLoss,14238.15,14180.45,57.70,23.20,10.01,-412.50,3.78,0.00,,,,,NIFTY04FEB2113200PE,16.05,10.55,21,,,
2021-01-27 12:14,2021-01-29 09:17,BearLadder,Bear,SwingExit,14086.40,13940.85,145.55,23.62,8.14,1957.50,17.87,73000.00,NIFTY04FEB2114600CE,60.65,26.75,500,NIFTY04FEB2115000CE,16.50,8.70,900,3311.25,90.18,-26688.75
2021-01-27 12:14,2021-01-28 09:17,BearLadderTrade,Bear,ProfitBook,14086.40,13839.05,247.35,23.62,8.14,1541.25,8.25,0.00,,,,,NIFTY04FEB2113100PE,14.65,35.20,20,,,
2021-01-27 12:14,2021-01-28 09:17,BearGammaBurst,Bear,ProfitBook,14086.40,13839.05,247.35,23.62,1.14,5730.00,19.88,0.00,,,,,NIFTY28JAN2113900PE,18.50,94.90,4,,,
2021-02-02 09:44,2021-02-02 10:41,BullLadder,Bull,SwingExit,14657.75,14536.40,-121.35,23.14,9.24,-870.00,16.79,80000.00,NIFTY11FEB2114000PE,37.20,50.70,600,NIFTY11FEB2113500PE,12.50,14.40,1100,1852.50,92.72,-35647.50
2021-02-02 09:44,2021-02-02 10:32,BullLadderTrade,Bull,StopLoss,14657.75,14569.80,-87.95,23.14,9.24,-217.50,3.79,0.00,,,,,NIFTY11FEB2115500CE,14.45,11.55,17,,,
2021-02-03 09:44,2021-02-10 10:15,BullLadder,Bull,SwingExit,14713.55,15058.05,344.50,23.93,8.24,1586.25,13.27,66000.00,NIFTY11FEB2114100PE,50.85,2.10,550,NIFTY11FEB2113800PE,28.90,1.30,850,1646.25,91.58,-20853.75
2021-02-03 09:44,2021-02-04 09:17,BullLadderTrade,Bull,StopLoss,14713.55,14760.95,47.40,23.93,8.24,-330.00,2.69,0.00,,,,,NIFTY11FEB2115500CE,11.70,7.30,16,,,
